number,symbol,name,atomic_mass,atomic_radii(pm),Protons,Electrons,Neutrons,Oxi. States,electron_configuration_semantic,phase,ionization_energies,electron_affinity,electronegativity_pauling,melt,boil,density,discovered_by
73,Ta,Tantalum,180.947882,200,73,73,108,5,[Xe] 4f14 5d3 6s2,Solid,761,31,1.5,3290,5731,16.69,Anders Gustaf Ekeberg
74,W,Tungsten,183.841,193,74,74,110,"+4, +6",[Xe] 4f14 5d4 6s2,Solid,770,78.76,2.36,3695,6203,19.25,Carl Wilhelm Scheele
75,Re,Rhenium,186.2071,188,75,75,111,"+4, +7",[Xe] 4f14 5d5 6s2,Solid,760,5.8273,1.9,3459,5869,21.02,Masataka Ogawa
76,Os,Osmium,190.233,185,76,76,114,"+4, +8",[Xe] 4f14 5d6 6s2,Solid,840,103.99,2.2,3306,5285,22.59,Smithson Tennant
77,Ir,Iridium,192.2173,180,77,77,115,"+3, +4, +6",[Xe] 4f14 5d7 6s2,Solid,880,150.94,2.2,2719,4403,22.56,Smithson Tennant
78,Pt,Platinum,195.0849,177,78,78,117,"+2, +4",[Xe] 4f14 5d9 6s1,Solid,870,205.041,2.28,2041.4,4098,21.45,Antonio de Ulloa
79,Au,Gold,196.9665695,174,79,79,118,"+1, +3",[Xe] 4f14 5d10 6s1,Solid,890.1,222.747,2.54,1337.33,3243,19.3,Middle East
80,Hg,Mercury,200.5923,171,80,80,122,"+1, +2",[Xe] 4f14 5d10 6s2,Liquid,1007.1,-48,2,234.321,629.88,13.534,"unknown, before 2000 BCE"
81,Tl,Thallium,204.38,156,81,81,123,"+1, +3",[Xe] 4f14 5d10 6s2 6p1,Solid,589.4,36.4,1.62,577,1746,11.85,William Crookes
82,Pb,Lead,207.21,154,82,82,125,"+2, +4",[Xe] 4f14 5d10 6s2 6p2,Solid,715.6,34.4204,1.87,600.61,2022,11.34,Middle East
83,Bi,Bismuth,208.980401,143,83,83,126,"+3, +5",[Xe] 4f14 5d10 6s2 6p3,Solid,703,90.924,2.02,544.7,1837,9.78,Claude François Geoffroy
84,Po,Polonium,209,135,84,84,125,"+2, +4",[Xe] 4f14 5d10 6s2 6p4,Solid,812.1,136,2,527,1235,9.196,Pierre Curie
85,At,Astatine,210,127,85,85,125,"-1, +1, +3, +5",[Xe] 4f14 5d10 6s2 6p5,Solid,899.003,233,2.2,575,610,6.35,Dale R. Corson
86,Rn,Radon,222,120,86,86,136,"0, +2",[Xe] 4f14 5d10 6s2 6p6,Gas,1037,-68,2.2,202,211.5,9.73,Friedrich Ernst Dorn
87,Fr,Francium,223,348,87,87,136,1,[Rn] 7s1,Solid,380,46.89,0.79,300,950,1.87,Marguerite Perey
88,Ra,Radium,226,283,88,88,138,2,[Rn] 7s2,Solid,509.3,9.6485,0.9,1233,2010,5.5,Pierre Curie
89,Ac,Actinium,227,195,89,89,138,3,[Rn] 6d1 7s2,Solid,499,33.77,1.1,1500,3500,10,Friedrich Oskar Giesel
90,Th,Thorium,232.03774,180,90,90,142,4,[Rn] 6d2 7s2,Solid,587,112.72,1.3,2023,5061,11.724,Jöns Jakob Berzelius
